playerID,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
bartlja01,2011,1,SDN,NL,139,554,61,136,22,3,2,40,23,10,48,98,0,5,5,6,13
bartoda02,2011,1,OAK,AL,67,236,27,50,13,0,0,21,2,1,39,47,3,2,0,3,6
bassan01,2011,1,SDN,NL,27,5,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0
bastaan01,2011,1,PHI,NL,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
batismi01,2011,1,SLN,NL,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
batismi01,2011,2,NYN,NL,9,6,1,0,0,0,0,0,0,0,0,2,0,0,2,0,0
bautijo02,2011,1,TOR,AL,149,513,105,155,24,2,43,103,9,5,132,111,24,6,0,4,8
baxtemi01,2011,1,NYN,NL,22,34,6,8,2,1,1,4,0,0,5,9,0,1,0,0,1
bayja01,2011,1,NYN,NL,123,444,59,109,19,1,12,57,11,1,56,109,3,2,1,6,8
beachbr01,2011,1,ATL,NL,25,43,0,3,0,0,0,1,0,0,1,22,0,0,6,0,0
beatope01,2011,1,NYN,NL,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
beavabl01,2011,1,SEA,AL,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
beckch01,2011,1,TOR,AL,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
beckejo02,2011,1,BOS,AL,30,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
beckhgo01,2011,1,CHA,AL,150,499,60,115,23,0,10,44,5,3,35,111,0,13,7,3,6
bedarer01,2011,1,SEA,AL,16,5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
bedarer01,2011,2,BOS,AL,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
beimejo01,2011,1,PIT,NL,35,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
belisma01,2011,1,COL,NL,74,2,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
bellhe01,2011,1,SDN,NL,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
belljo01,2011,1,BAL,AL,26,61,6,10,0,0,0,6,0,0,4,25,0,0,0,0,1
